Name,PlayerID
Merrill Kelly,518876
Zac Gallen,668678
Madison Bumgarner,518516
Zach Davies,605200
Mark Melancon,453343
Caleb Smith,592761
Joe Mantiply,573009
Ian Kennedy,453178
Noé Ramirez,598287
Tommy Henry,674072
Humberto Castellanos,528748
Kyle Nelson,669459
Tyler Gilbert,656457
Kevin Ginkel,656464
Sean Poppen,664092
Drey Jameson,686753
Corbin Martin,656686
Dallas Keuchel,572971
Ryne Nelson,669194
Taylor Widener,642203
Keynan Middleton,641871
Luis Frías,666818
Edwin Uceta,670955
Luke Weaver,596133
Reyes Moronta,606625
Chris Devenski,606965
Tyler Holton,663947
Carson Kelly,608348
Oliver Pérez,424144
Matt Peacock,676840
Jake Hager,606993
Paul Fry,643316
Max Fried,608331
Kyle Wright,657140
Charlie Morton,119424
Spencer Strider,675911
Ian Anderson,666120
Kenley Jansen,445276
Collin McHugh,543521
Jesse Chavez,445926
Dylan Lee,669276
Bryce Elder,693821
Jackson Stephens,623451
Jake Odorizzi,543606
Tyler Matzek,554431
Will Smith,519293
Raisel Iglesias,628452
Darren O'Day,503285
Tucker Davidson,656353
Kyle Muller,666205
Tyler Thornburg,592804
Jesus Cruz,672911
Kirby Yates,489446
Huascar Ynoa,660623
Sean Newcomb,656794
Silvino Bracho,611093
Danny Young,277415
William Woods,682016
Jay Jackson,543351
Orlando Arcia,606115
Mike Ford,645801
Freddy Tarnok,676206
Ehire Adrianza,501303
Jordan Lyles,543475
Dean Kremer,665152
Kyle Bradish,680694
Spenser Watkins,657093
Tyler Wells,669330
Austin Voth,608723
Jorge López,605347
Dillon Tate,622253
Bryan Baker,641329
Félix Bautista,642585
Cionel Pérez,672335
Keegan Akin,669211
Bruce Zimmermann,669145
Joey Krehbiel,607216
Mike Baumann,657508
Nick Vespi,663989
Logan Gillaspie,670810
DL Hall,669084
Beau Sulser,676641
Travis Lakins,664042
Rico Garcia,670329
John Means,607644
Denyi Reyes,660593
Jake Reed,596082
Marcos Diplán,650959
Zac Lowther,675912
Louis Head,545343
Yennier Cano,666974
Chris Ellis,595939
Alex Wells,649144
Cody Sedlock,642060
Logan Allen,671106
Ryan McKenna,663630
Chris Owings,572008
Brett Phillips,621433
Nick Pivetta,601713
Michael Wacha,608379
Rich Hill,448179
Nathan Eovaldi,543135
Kutter Crawford,676710
Josh Winckowski,670174
John Schreiber,670167
Ryan Brasier,518489
Austin Davis,-1
Hirokazu Sawamura,617228
Matt Strahm,621381
Garrett Whitlock,676477
Tanner Houck,656557
Brayan Bello,678394
Tyler Danish,641501
Matt Barnes,598264
Jake Diekman,518617
Kaleb Ort,672391
Hansel Robles,570663
Connor Seabold,657756
Eduard Bazardo,660825
Phillips Valdez,570488
Zack Kelly,677161
Jeurys Familia,544727
Darwinzon Hernández,650382
Chris Sale,519242
Frank German,681464
Michael Feliz,593140
Reese McGuire,624512
Kevin Plawecki,608700
Yu Chang,644374
Dylan Cease,656302
Lucas Giolito,608337
Johnny Cueto,456501
Lance Lynn,458681
Michael Kopech,656629
Liam Hendriks,521230
Reynaldo López,625643
Kendall Graveman,608665
José Ruiz,614179
Matt Foster,641582
Vince Velasquez,592826
Davis Martin,663436
Tanner Banks,621383
Jimmy Lambert,669424
